page_title,judge_reasoning,judge_noteworthy,human_noteworthy
Valemount,"The removal of the village's pronunciation and, more significantly, the details about its Via Rail service, which impacts information on accessibility and services for a designated resort municipality, are both noteworthy changes according to human preferences.",True,True
John_Diefenbaker,"The change from '1930' to '1935' for the start of the timeframe defining Diefenbaker's unique political achievement is a factual correction that significantly alters the historical period being described, making it a noteworthy update to the article's accuracy.",True,False
Walang_Biruan,"The addition of the specific record label, Sony Music Philippines, constitutes a noteworthy factual addition as it provides a core piece of information regarding the song's official release and distribution that was previously missing.",True,False
Canadian_football,"The change in tense from 'was' to 'is' throughout the article fundamentally alters the status of Canadian football from a historical sport to a currently active one, which is a significant factual correction and a change in the framing of the subject.",True,False
Cairo_Gang,"The addition of the parenthetical note introduces a significant historical nuance by acknowledging that the links of some victims to the British establishment have been contested, which alters the definitive portrayal of the event's targets and provides a more complete historical context.",True,False
Henry_Purcell,"The addition of 'organist' as a profession is a significant biographical detail, and the removal of the comparative statement about his fame relative to later English composers alters the framing of his historical significance, both of which constitute noteworthy changes.",True,True
Billboard_Latin_Music_Award_for_Reggaeton_Album_of_the_Year,"The changes are noteworthy because they involve correcting multiple specific album release dates, which are core factual details critical to the historical accuracy of the awards and albums discussed in the article.",True,False
Korean_War,"The changes are noteworthy because the new revision removes specific details about pre-war border clashes and internal unrest, altering the historical context, and crucially changes the attribution of bombing campaigns from 'U.S. bombing' to 'U.N. bombing', which is a significant factual and contextual alteration of responsibility.",True,True
Kaia_(group),"The changes include a stylistic clarification for the group's name and a minor biographical detail about two members being twin sisters, neither of which constitutes a significant factual addition or fundamentally alters the group's identity or core information.",False,False
Montreal_Alouettes,"The new revision significantly enhances the historical overview by adding specific details about the team's Grey Cup appearances, wins, losses, and opponents during the 1970s and additional context for the 2000s, moving beyond broad descriptions to provide concrete factual information that aligns with human preferences for noteworthy factual additions.",True,True
2025_MotoGP_World_Championship,"The change from 'is' to 'was' for the 2025 championship reflects a significant factual update regarding the temporal status of the event, indicating it has concluded rather than being current or upcoming, which aligns with human preference for factual accuracy regarding event timelines.",True,False
Armed_Forces_Day_(Bangladesh),"The addition of the Bengali name and its romanization, along with more specific details about the formation and unification of the armed forces and the participants in the surrender, constitutes noteworthy changes according to the human preference guidelines, particularly under 'Cultural Recognition' and 'Factual Additions/Corrections'.",True,True
Irish_Republican_Army_(1919–1922),"The explicit addition of the Irish name ""Óglaigh na hÉireann"" for the IRA, which was only represented by a generic language template in the old revision, is a noteworthy change that aligns with human preferences for cultural recognition by providing previously absent native language information.",True,True
1945,"The new revision adds a significant interpretive framing ('turning point in human history'), provides more precise factual details ('defeat and occupation' vs. 'fall'), and clarifies the specific historical context ('Nazi concentration camps'), which collectively enhance the article's accuracy and historical depth, aligning with human preferences for noteworthy content additions.",True,False
"Paradise,_Nevada","The addition of the sentence clarifying that all Paradise addresses use 'Las Vegas' despite its unincorporated status provides a significant, non-inferable factual detail that enhances understanding of the town's practical identity and relationship with the adjacent city, aligning with human preferences for noteworthy factual additions.",True,False
"Washington,_D.C.","The changes are noteworthy because they include a factual correction clarifying the city's founding date to align with the Residence Act of 1790 and add a significant historical detail about President John Adams moving into the White House in 1800, which are more than minor phrasing adjustments and enhance the article's historical accuracy and completeness.",True,True
Virginia,"The changes primarily consist of minor statistical updates, clarifications of existing information like the specific political party in power, and word choice refinements, none of which introduce new core facts or fundamentally alter the article's substance, aligning with the human preference for 'not noteworthy' changes.",False,False
United_States_Congress,"The changes consist of minor rephrasing, a small numerical update, a slight correction to an act's name that doesn't alter its function, and an additional detail about congressional sessions that provides nuance rather than a new fundamental understanding of the term, aligning with the 'Depth vs. Substance' guidelines for not noteworthy changes.",False,True
Schmidt–Cassegrain_telescope,"The new revision provides more specific and fundamental technical details by naming the type of optical path and corrector plate, and adding a key design characteristic (simple spherical surfaces), which makes the technical description more complete and precise rather than just adding nuance.",True,False
