page_title,judge_reasoning,judge_noteworthy,human_noteworthy
Valemount,"The removal of the Via Rail service information constitutes a noteworthy change as it removes significant factual details about the village's public transportation and accessibility, which aligns with prioritizing completeness in article content.",True,True
John_Diefenbaker,"The change from 1930 to 1935 for a significant historical period represents a 5-year factual correction, which is considered noteworthy according to the 'Temporal Significance' principle for updates spanning 5+ years.",True,False
Walang_Biruan,"The addition of the record label, while a factual update, is a minor detail that does not fundamentally alter the understanding of the song or its context, aligning with human preferences for 'not noteworthy' changes regarding minor factual additions.",False,False
Canadian_football,The changes are noteworthy because the pervasive tense shift from past to present fundamentally alters the article's framing of Canadian football from a historical sport to a currently played one.,True,False
Cairo_Gang,"The new revision adds a crucial detail acknowledging that the links of some victims to the British establishment have been contested, which provides a more nuanced historical perspective and alters the framing of the event by introducing a dispute about who was targeted, thus aligning with human preference for substantive content changes.",True,False
Henry_Purcell,"The changes are noteworthy because they include the addition of 'organist' as a significant professional detail and the removal of a sentence that framed Purcell's unique and unparalleled historical fame among English composers, thereby altering the understanding of his historical significance.",True,True
Billboard_Latin_Music_Award_for_Reggaeton_Album_of_the_Year,"The changes consist of minor, one-year corrections to album release dates, which, according to the 'Temporal Significance' principle, are considered minor statistical updates and not noteworthy as they do not represent significant temporal gaps or alter the core historical overview of the award.",False,False
Korean_War,The changes are noteworthy because they include a factual correction regarding the attribution of bombing campaigns from 'U.S. bombing' to 'U.N. bombing' and remove significant contextual information about pre-war border clashes and internal unrest.,True,True
Kaia_(group),"The changes involve clarifying the stylistic presentation of the group's name and adding a minor biographical detail about two members being twins, neither of which significantly alters the core facts, major events, or overall understanding of the group, aligning with human preferences to classify minor personal details and stylistic clarifications as not noteworthy.",False,False
Montreal_Alouettes,"The new revision is noteworthy because the detailed addition of specific Grey Cup appearances, wins, losses, and opponents for the 1970s significantly enhances the historical context and completeness of the article's account of the team's past performance.",True,True
2025_MotoGP_World_Championship,"The change from 'is' to 'was' is a factual correction indicating the 2025 championship has concluded, which is a noteworthy temporal update aligning with human preference for factual accuracy.",True,False
Armed_Forces_Day_(Bangladesh),"The new revision is noteworthy because it adds the full Bengali name and romanization of Armed Forces Day, provides a more precise explanation of the formation and unification of the Bangladesh Armed Forces, and clarifies the participants and duration of the surrender, aligning with human preferences for factual additions and cultural recognition.",True,True
Irish_Republican_Army_(1919–1922),"The addition of the specific Irish name for the IRA, 'Óglaigh na hÉireann', is noteworthy as it aligns with human preferences for cultural recognition and providing indigenous language names, despite other changes being minor reordering or formatting adjustments.",True,True
1945,"The new revision's addition of 'A turning point in human history' significantly alters the framing and emphasizes the year's importance, aligning with noteworthy changes concerning historical context and framing.",True,False
"Paradise,_Nevada","The addition of information clarifying that all Paradise addresses are officially 'Las Vegas' addresses is noteworthy because it provides crucial practical context about the town's identity and its relationship with the adjacent city, which is not inferable and enhances the reader's understanding.",True,False
"Washington,_D.C.","The changes are noteworthy because they include a factual clarification of the city's founding date and the addition of a significant historical detail about President John Adams moving into the White House, enhancing the completeness and accuracy of the article's historical context.",True,True
Virginia,"The new revision is noteworthy because it specifies the political party during the one-party rule and, more significantly, broadens the timeframe for the repeal of racial segregation laws to include the 1960s, which enhances the historical accuracy and detail of the article.",True,False
United_States_Congress,"The changes primarily involve minor numerical updates, grammatical adjustments, and a clarification about the two-year congressional term being split into sessions, which provides additional depth rather than introducing new, fundamental information.",False,True
Schmidt–Cassegrain_telescope,"The new revision is noteworthy as it provides specific technical names for the optical path and corrector plate, and adds a key design characteristic about using simple spherical surfaces, which together make the definition of the Schmidt-Cassegrain telescope more complete and precise.",True,False
